brand,product,price,image of the product
FENTY BEAUTY by Rihanna,Pro Filt'r Instant Retouch Setting Powder,$32.00,https://www.sephora.com/productimages/sku/s2173607-main-zoom.jpg?imwidth=135
SEPHORA COLLECTION,Matte Perfection Powder Foundation,$20.00,https://www.sephora.com/productimages/sku/s1787589-main-zoom.jpg?pb=2020-03-sephora-value-2019&imwidth=135
Too Faced,Born This Way Foundation,$40.00,https://www.sephora.com/productimages/sku/s2084648-main-zoom.jpg?imwidth=135
bareMinerals,Original Loose Powder Mineral Foundation Broad Spectrum SPF 15,$32.00,https://www.sephora.com/productimages/sku/s1922541-main-zoom.jpg?imwidth=135
NARS,Blush,$30.00,https://www.sephora.com/productimages/sku/s248930-main-zoom.jpg?imwidth=135
Natasha Denona,Tan Bronze & Glow Palette,$55.00,https://www.sephora.com/productimages/sku/s2222875-main-zoom.jpg?imwidth=135
tarte,SEA Quench Lip Rescue Balm,$19.00,https://www.sephora.com/productimages/sku/s1779289-main-zoom.jpg?pb=2020-03-sephora-clean-2019&imwidth=135
NUDESTIX,Gel Color Lip + Cheek Balm, $19.50,https://www.sephora.com/productimages/sku/s1826023-main-zoom.jpg?imwidth=135
SEPHORA COLLECTION,Colorful Lip Gloss Balm,$9.00,https://www.sephora.com/productimages/sku/s1735547-main-zoom.jpg?pb=2020-03-sephora-value-2019&imwidth=135
CLINIQUE,Chubby Stick Moisturizing Lip Colour Balm,$18.50,https://www.sephora.com/productimages/sku/s1307875-main-zoom.jpg?imwidth=135
HUDA BEAUTY,Life Liner Double Ended Eyeliner Liquid & Pencil, $12.00,https://www.sephora.com/productimages/sku/s2282606-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Mini Always An Optimist Illuminating Primer,$14.00,https://www.sephora.com/productimages/sku/s2362473-main-zoom.jpg?imwidth=135
HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation, $24.00,https://www.sephora.com/productimages/sku/s2001774-main-zoom.jpg?imwidth=135
